tipo_informe,seccion,criterio,pregunta,texto,score,justificacion,model_name,pipeline_version,criteria_version,timestamp
institucional,Resumen Ejecutivo,Estructura,"¿El IEI 2023 contiene una sección en donde se sintetiza el avance en la implementación de las AEI, conclusiones y recomendaciones obtenidos en la evaluación?",,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Resumen Ejecutivo,Claridad y coherencia,"¿La síntesis del avance de implementación de las AEI, conclusiones y recomendaciones es claro (se entiende al leerla)?",,3,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Resumen Ejecutivo,Claridad y coherencia,"¿La síntesis del avance de implementación de las AEI, conclusiones y recomendaciones muestra coherencia en su presentación?",,2,La conexión entre los resultados obtenidos y las recomendaciones futuras podría estar mejor articuladas.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Prioridades de la política institucional,Estructura,¿El IEI 2023 contiene una sección en la que se describe la misión de la entidad y las principales prioridades de su política institucional?,,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Prioridades de la política institucional,Estructura,¿El IEI 2023 contiene una sección en la que se presenta la priorización realizada en el paso de delimitación del alcance de la evaluación?,,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Prioridades de la política institucional,Claridad y coherencia,¿La descripción de la misión de la entidad y las prioridades de la política institucional es clara y coherente?,,3,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Prioridades de la política institucional,Claridad y coherencia,¿La priorización en la delimitación del alcance de la evaluación es clara y coherente?,,4,Criterio: ruta estrátegica y menciona que considera todo menos los indicadores con propuesta de reemplazo o retiro.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de resultados de los objetivos estratégicos institucionales (OEI),Estructura,¿El IEI 2023 contiene los principales resultados de cada uno de sus OEI?,,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de resultados de los objetivos estratégicos institucionales (OEI),Claridad y coherencia,¿El análisis de resultados de los OEI es claro (se entiende al leerla)?,,4,Presenta resultado general y por cada OEI. Buena redacción y usa tablas.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de resultados de los objetivos estratégicos institucionales (OEI),Claridad y coherencia,¿El análisis de resultados de los OEI es coherente con la misión y prioridad institucional de la entidad?,,3,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
